Country,State ,City,Station,Last_Update,Latitude,Longitude,Pollutant_ID,Pollutant_Min,Pollutant_Max,Pollutant_Avg,Pollution Range,Pollution Category
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",05-02-2026 14:00,28.636429,77.201067,PM2.5,5,310,170,305,Poor
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",05-02-2026 14:00,28.636429,77.201067,PM10,97,205,163,108,Poor
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",05-02-2026 14:00,28.636429,77.201067,NH3,3,6,5,3,Good
India,Delhi,Delhi,"Mundka, Delhi - DPCC",05-02-2026 14:00,28.684678,77.076574,NH3,NA,NA,NA,0,Severe
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-02-2026 14:00,28.60909,77.0325413,NH3,6,9,7,3,Good
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-02-2026 14:00,28.60909,77.0325413,OZONE,11,82,26,71,Good
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-02-2026 14:00,28.570173,76.933762,CO,13,106,20,93,Good
India,Delhi,Delhi,"Narela, Delhi - DPCC",05-02-2026 14:00,28.822836,77.101981,PM2.5,82,282,165,200,Poor
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-02-2026 14:00,28.56789,77.250515,PM2.5,177,402,308,225,Severe
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-02-2026 14:00,28.56789,77.250515,NH3,6,9,8,3,Good
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-02-2026 14:00,28.530785,77.271255,NH3,13,31,25,18,Good
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-02-2026 14:00,28.530785,77.271255,CO,23,132,104,109,Poor
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-02-2026 14:00,28.623763,77.287209,PM2.5,143,340,281,197,Very Poor
India,Delhi,Delhi,"Rohini, Delhi - DPCC",05-02-2026 14:00,28.732528,77.11992,SO2,11,19,14,8,Good
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",05-02-2026 14:00,28.6514781,77.1473105,PM2.5,50,364,275,314,Very Poor
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",05-02-2026 14:00,28.5504249,77.2159377,NH3,3,5,4,2,Good
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",05-02-2026 14:00,28.5504249,77.2159377,SO2,27,35,32,8,Good
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",05-02-2026 14:00,28.710508,77.249485,NH3,3,20,6,17,Good
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-02-2026 14:00,28.672342,77.31526,PM10,150,227,187,77,Poor
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",05-02-2026 14:00,28.7256504,77.2011573,PM2.5,114,332,248,218,Very Poor
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",05-02-2026 14:00,28.7256504,77.2011573,NO2,96,144,119,48,Poor
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",05-02-2026 14:00,28.7256504,77.2011573,OZONE,12,118,36,106,Good
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-02-2026 14:00,28.656756,77.227234,PM10,45,330,215,285,Very Poor
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-02-2026 14:00,28.656756,77.227234,NH3,4,7,6,3,Good
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-02-2026 14:00,28.672342,77.31526,NO2,27,100,53,73,Moderate
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",05-02-2026 14:00,28.672342,77.31526,CO,28,78,51,50,Moderate
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-02-2026 14:00,28.699793,77.165453,SO2,7,18,11,11,Good
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",05-02-2026 14:00,23.107969,72.574648,SO2,4,12,8,8,Good
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-02-2026 14:00,28.674045,77.131023,PM2.5,93,359,287,266,Very Poor
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-02-2026 14:00,28.674045,77.131023,NH3,4,5,4,1,Good
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-02-2026 14:00,28.674045,77.131023,OZONE,8,71,38,63,Good
India,Delhi,Delhi,"Pusa, Delhi - IMD",05-02-2026 14:00,28.63611,77.173332,PM10,70,203,154,133,Poor
India,Delhi,Delhi,"Bawana, Delhi - DPCC",05-02-2026 14:00,28.7762,77.051074,CO,32,82,53,50,Moderate
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",05-02-2026 14:00,23.243639,72.68994,CO,2,46,17,44,Good
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",05-02-2026 14:00,23.59315,72.372792,NH3,2,5,3,3,Good
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",05-02-2026 14:00,22.248853,70.776774,CO,106,112,108,6,Poor
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",05-02-2026 14:00,21.217779,72.834787,OZONE,5,12,9,7,Good
India,Gujarat,Surat,"Science Center, Surat - SMC",05-02-2026 14:00,21.170046,72.795405,PM2.5,24,71,48,47,Good
India,Gujarat,Surat,"Science Center, Surat - SMC",05-02-2026 14:00,21.170046,72.795405,NO2,15,42,24,27,Good
India,Gujarat,Surat,"Science Center, Surat - SMC",05-02-2026 14:00,21.170046,72.795405,SO2,20,24,22,4,Good
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",05-02-2026 14:00,22.320153,73.216285,PM2.5,23,195,144,172,Poor
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",05-02-2026 14:00,23.002657,72.591912,SO2,24,85,38,61,Good
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",05-02-2026 14:00,23.002657,72.591912,CO,16,28,22,12,Good
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",05-02-2026 14:00,23.002657,72.591912,OZONE,40,93,61,53,Moderate
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",05-02-2026 14:00,23.020509,72.579261,CO,2,54,26,52,Good
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",05-02-2026 14:00,23.020509,72.579261,OZONE,39,76,53,37,Moderate
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",05-02-2026 14:00,23.041137,72.456691,PM10,71,153,112,82,Poor
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",05-02-2026 14:00,23.041137,72.456691,CO,6,22,19,16,Good
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",05-02-2026 14:00,23.023389,72.515201,PM2.5,25,77,58,52,Moderate
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",05-02-2026 14:00,28.39072,77.30059,SO2,8,9,8,1,Good
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",05-02-2026 14:00,28.376058,77.315741,PM10,70,221,131,151,Poor
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",05-02-2026 14:00,28.4417,77.3217,NO2,36,40,38,4,Good
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",05-02-2026 14:00,29.503664,75.467934,NH3,13,15,14,2,Good
